Number		Dims		Class Data
173		(1, 64, 64, 3)		[b'sea cucumber, holothurian']
174		(1, 64, 64, 3)		[b'bison']
175		(1, 64, 64, 3)		[b'fountain']
176		(1, 64, 64, 3)		[b'sea cucumber, holothurian']
177		(1, 64, 64, 3)		[b'beaker']
178		(1, 64, 64, 3)		[b'bathtub, bathing tub, bath, tub']
179		(1, 64, 64, 3)		[b'lion, king of beasts, Panthera leo']
180		(1, 64, 64, 3)		[b'abacus']
181		(1, 64, 64, 3)		[b'snail']
182		(1, 64, 64, 3)		[b'barbershop']
183		(1, 64, 64, 3)		[b'dining table, board']
184		(1, 64, 64, 3)		[b'chain']
185		(1, 64, 64, 3)		[b'steel arch bridge']
186		(1, 64, 64, 3)		[b'lion, king of beasts, Panthera leo']
187		(1, 64, 64, 3)		[b'scorpion']
188		(1, 64, 64, 3)		[b'ox']
189		(1, 64, 64, 3)		[b'scorpion']
190		(1, 64, 64, 3)		[b'espresso']
191		(1, 64, 64, 3)		[b'triumphal arch']
192		(1, 64, 64, 3)		[b'military uniform']
193		(1, 64, 64, 3)		[b'candle, taper, wax light']
194		(1, 64, 64, 3)		[b'pay-phone, pay-station']
195		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
196		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
197		(1, 64, 64, 3)		[b'grasshopper, hopper']
198		(1, 64, 64, 3)		[b'tarantula']
199		(1, 64, 64, 3)		[b'bannister, banister, balustrade, balusters, handrail']
200		(1, 64, 64, 3)		[b'cardigan']
201		(1, 64, 64, 3)		[b'miniskirt, mini']
202		(1, 64, 64, 3)		[b'mushroom']
203		(1, 64, 64, 3)		[b'suspension bridge']
204		(1, 64, 64, 3)		[b'maypole']
205		(1, 64, 64, 3)		[b'birdhouse']
206		(1, 64, 64, 3)		[b'moving van']
207		(1, 64, 64, 3)		[b'turnstile']
208		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
209		(1, 64, 64, 3)		[b'standard poodle']
210		(1, 64, 64, 3)		[b'birdhouse']
211		(1, 64, 64, 3)		[b'sewing machine']
212		(1, 64, 64, 3)		[b'lawn mower, mower']
213		(1, 64, 64, 3)		[b'Chihuahua']
214		(1, 64, 64, 3)		[b'bullfrog, Rana catesbeiana']
215		(1, 64, 64, 3)		[b'cliff, drop, drop-off']
216		(1, 64, 64, 3)		[b'barbershop']
217		(1, 64, 64, 3)		[b'gazelle']
218		(1, 64, 64, 3)		[b'bullfrog, Rana catesbeiana']
219		(1, 64, 64, 3)		[b'limousine, limo']
220		(1, 64, 64, 3)		[b'slug']
221		(1, 64, 64, 3)		[b'dugong, Dugong dugon']
222		(1, 64, 64, 3)		[b'birdhouse']
223		(1, 64, 64, 3)		[b'volleyball']
224		(1, 64, 64, 3)		[b'lemon']
225		(1, 64, 64, 3)		[b'gazelle']
226		(1, 64, 64, 3)		[b'Persian cat']
227		(1, 64, 64, 3)		[b'water jug']
228		(1, 64, 64, 3)		[b'beer bottle']
229		(1, 64, 64, 3)		[b'coral reef']
230		(1, 64, 64, 3)		[b'bison']
231		(1, 64, 64, 3)		[b'gazelle']
232		(1, 64, 64, 3)		[b'bee']
233		(1, 64, 64, 3)		[b'rugby ball']
234		(1, 64, 64, 3)		[b'walking stick, walkingstick, stick insect']
235		(1, 64, 64, 3)		[b'brown bear, bruin, Ursus arctos']
236		(1, 64, 64, 3)		[b'steel arch bridge']
237		(1, 64, 64, 3)		[b'Yorkshire terrier']
238		(1, 64, 64, 3)		[b'parking meter']
239		(1, 64, 64, 3)		[b'magnetic compass']
240		(1, 64, 64, 3)		[b'cannon']
241		(1, 64, 64, 3)		[b'candle, taper, wax light']
242		(1, 64, 64, 3)		[b'gasmask, respirator, gas helmet']
243		(1, 64, 64, 3)		[b'bikini, two-piece']
244		(1, 64, 64, 3)		[b'centipede']
245		(1, 64, 64, 3)		[b'beer bottle']
246		(1, 64, 64, 3)		[b'American alligator, Alligator mississipiensis']
247		(1, 64, 64, 3)		[b'tabby, tabby cat']
248		(1, 64, 64, 3)		[b'projectile, missile']
249		(1, 64, 64, 3)		[b'banana']
250		(1, 64, 64, 3)		[b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui']
251		(1, 64, 64, 3)		[b'torch']
252		(1, 64, 64, 3)		[b'sewing machine']
253		(1, 64, 64, 3)		[b'abacus']
254		(1, 64, 64, 3)		[b'teapot']
255		(1, 64, 64, 3)		[b'sewing machine']
256		(1, 64, 64, 3)		[b'magnetic compass']
257		(1, 64, 64, 3)		[b'bannister, banister, balustrade, balusters, handrail']
258		(1, 64, 64, 3)		[b'trolleybus, trolley coach, trackless trolley']
259		(1, 64, 64, 3)		[b'tabby, tabby cat']
260		(1, 64, 64, 3)		[b'sports car, sport car']
261		(1, 64, 64, 3)		[b'brass, memorial tablet, plaque']
262		(1, 64, 64, 3)		[b'abacus']
263		(1, 64, 64, 3)		[b'barbershop']
264		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
265		(1, 64, 64, 3)		[b'pizza, pizza pie']
266		(1, 64, 64, 3)		[b'iPod']
267		(1, 64, 64, 3)		[b'lifeboat']
268		(1, 64, 64, 3)		[b'backpack, back pack, knapsack, packsack, rucksack, haversack']
269		(1, 64, 64, 3)		[b'barn']
270		(1, 64, 64, 3)		[b'butcher shop, meat market']
271		(1, 64, 64, 3)		[b'rugby ball']
272		(1, 64, 64, 3)		[b'slug']
273		(1, 64, 64, 3)		[b'Chihuahua']
274		(1, 64, 64, 3)		[b'pretzel']
275		(1, 64, 64, 3)		[b'black widow, Latrodectus mactans']
276		(1, 64, 64, 3)		[b'gondola']
277		(1, 64, 64, 3)		[b'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM']
278		(1, 64, 64, 3)		[b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria']
279		(1, 64, 64, 3)		[b'bannister, banister, balustrade, balusters, handrail']
280		(1, 64, 64, 3)		[b'alp']
281		(1, 64, 64, 3)		[b'remote control, remote']
282		(1, 64, 64, 3)		[b'ox']
283		(1, 64, 64, 3)		[b'beaker']
284		(1, 64, 64, 3)		[b'king penguin, Aptenodytes patagonica']
285		(1, 64, 64, 3)		[b'steel arch bridge']
286		(1, 64, 64, 3)		[b'orange']
287		(1, 64, 64, 3)		[b'barbershop']
288		(1, 64, 64, 3)		[b'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis']
289		(1, 64, 64, 3)		[b'sports car, sport car']
290		(1, 64, 64, 3)		[b'miniskirt, mini']
291		(1, 64, 64, 3)		[b'king penguin, Aptenodytes patagonica']
292		(1, 64, 64, 3)		[b'lawn mower, mower']
293		(1, 64, 64, 3)		[b'crane']
294		(1, 64, 64, 3)		[b'altar']
295		(1, 64, 64, 3)		[b'cauliflower']
296		(1, 64, 64, 3)		[b'ox']
297		(1, 64, 64, 3)		[b'military uniform']
298		(1, 64, 64, 3)		[b'Labrador retriever']
299		(1, 64, 64, 3)		[b'remote control, remote']
300		(1, 64, 64, 3)		[b'baboon']
301		(1, 64, 64, 3)		[b'computer keyboard, keypad']
302		(1, 64, 64, 3)		[b'projectile, missile']
303		(1, 64, 64, 3)		[b'standard poodle']
304		(1, 64, 64, 3)		[b'hog, pig, grunter, squealer, Sus scrofa']
305		(1, 64, 64, 3)		[b'beaker']
306		(1, 64, 64, 3)		[b"spider web, spider's web"]
307		(1, 64, 64, 3)		[b'bell pepper']
308		(1, 64, 64, 3)		[b'apron']
309		(1, 64, 64, 3)		[b'teddy, teddy bear']
310		(1, 64, 64, 3)		[b'brown bear, bruin, Ursus arctos']
311		(1, 64, 64, 3)		[b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus']
312		(1, 64, 64, 3)		[b'lawn mower, mower']
313		(1, 64, 64, 3)		[b'Christmas stocking']
314		(1, 64, 64, 3)		[b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria']
315		(1, 64, 64, 3)		[b'refrigerator, icebox']
316		(1, 64, 64, 3)		[b'swimming trunks, bathing trunks']
317		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
318		(1, 64, 64, 3)		[b'lawn mower, mower']
319		(1, 64, 64, 3)		[b'trilobite']
320		(1, 64, 64, 3)		[b'chimpanzee, chimp, Pan troglodytes']
321		(1, 64, 64, 3)		[b'wooden spoon']
322		(1, 64, 64, 3)		[b'ice lolly, lolly, lollipop, popsicle']
323		(1, 64, 64, 3)		[b'bathtub, bathing tub, bath, tub']
324		(1, 64, 64, 3)		[b'sandal']
325		(1, 64, 64, 3)		[b'moving van']
326		(1, 64, 64, 3)		[b'snorkel']
327		(1, 64, 64, 3)		[b'Persian cat']
328		(1, 64, 64, 3)		[b'snail']
329		(1, 64, 64, 3)		[b'fur coat']
330		(1, 64, 64, 3)		[b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus']
331		(1, 64, 64, 3)		[b'rocking chair, rocker']
332		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
333		(1, 64, 64, 3)		[b'umbrella']
334		(1, 64, 64, 3)		[b'birdhouse']
335		(1, 64, 64, 3)		[b'gasmask, respirator, gas helmet']
336		(1, 64, 64, 3)		[b'boa constrictor, Constrictor constrictor']
337		(1, 64, 64, 3)		[b'thatch, thatched roof']
338		(1, 64, 64, 3)		[b'cliff dwelling']
339		(1, 64, 64, 3)		[b'torch']
340		(1, 64, 64, 3)		[b'CD player']
341		(1, 64, 64, 3)		[b'beacon, lighthouse, beacon light, pharos']
342		(1, 64, 64, 3)		[b'plate']
343		(1, 64, 64, 3)		[b'CD player']
344		(1, 64, 64, 3)		[b'centipede']
345		(1, 64, 64, 3)		[b'dumbbell']
346		(1, 64, 64, 3)		[b'military uniform']
347		(1, 64, 64, 3)		[b'rugby ball']
348		(1, 64, 64, 3)		[b'mashed potato']
349		(1, 64, 64, 3)		[b'broom']
350		(1, 64, 64, 3)		[b'snorkel']
351		(1, 64, 64, 3)		[b'jinrikisha, ricksha, rickshaw']
352		(1, 64, 64, 3)		[b'rocking chair, rocker']
353		(1, 64, 64, 3)		[b'brain coral']
354		(1, 64, 64, 3)		[b'espresso']
355		(1, 64, 64, 3)		[b'volleyball']
356		(1, 64, 64, 3)		[b'teapot']
357		(1, 64, 64, 3)		[b'oboe, hautboy, hautbois']
358		(1, 64, 64, 3)		[b'trolleybus, trolley coach, trackless trolley']
359		(1, 64, 64, 3)		[b'ice lolly, lolly, lollipop, popsicle']
360		(1, 64, 64, 3)		[b'syringe']
361		(1, 64, 64, 3)		[b'lemon']
362		(1, 64, 64, 3)		[b'cardigan']
363		(1, 64, 64, 3)		[b'brown bear, bruin, Ursus arctos']
364		(1, 64, 64, 3)		[b'Persian cat']
365		(1, 64, 64, 3)		[b'tractor']
366		(1, 64, 64, 3)		[b'chest']
367		(1, 64, 64, 3)		[b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus']
368		(1, 64, 64, 3)		[b'king penguin, Aptenodytes patagonica']
369		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
370		(1, 64, 64, 3)		[b'monarch, monarch butterfly, milkweed butterfly, Danaus plexippus']
371		(1, 64, 64, 3)		[b'brain coral']
372		(1, 64, 64, 3)		[b'syringe']
373		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
374		(1, 64, 64, 3)		[b'steel arch bridge']
375		(1, 64, 64, 3)		[b'trilobite']
376		(1, 64, 64, 3)		[b'military uniform']
377		(1, 64, 64, 3)		[b'sea slug, nudibranch']
378		(1, 64, 64, 3)		[b'goldfish, Carassius auratus']
379		(1, 64, 64, 3)		[b'space heater']
380		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
381		(1, 64, 64, 3)		[b'obelisk']
382		(1, 64, 64, 3)		[b'dugong, Dugong dugon']
383		(1, 64, 64, 3)		[b'bannister, banister, balustrade, balusters, handrail']
384		(1, 64, 64, 3)		[b'bullfrog, Rana catesbeiana']
385		(1, 64, 64, 3)		[b'birdhouse']
386		(1, 64, 64, 3)		[b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui']
387		(1, 64, 64, 3)		[b'boa constrictor, Constrictor constrictor']
388		(1, 64, 64, 3)		[b'coral reef']
389		(1, 64, 64, 3)		[b'chain']
390		(1, 64, 64, 3)		[b'pretzel']
391		(1, 64, 64, 3)		[b'dam, dike, dyke']
392		(1, 64, 64, 3)		[b'guacamole']
393		(1, 64, 64, 3)		[b'tarantula']
394		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
395		(1, 64, 64, 3)		[b'teapot']
396		(1, 64, 64, 3)		[b'comic book']
397		(1, 64, 64, 3)		[b'pomegranate']
398		(1, 64, 64, 3)		[b'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens']
399		(1, 64, 64, 3)		[b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor']
400		(1, 64, 64, 3)		[b'cardigan']
401		(1, 64, 64, 3)		[b'espresso']
402		(1, 64, 64, 3)		[b'moving van']
403		(1, 64, 64, 3)		[b'go-kart']
404		(1, 64, 64, 3)		[b'mushroom']
405		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
406		(1, 64, 64, 3)		[b'thatch, thatched roof']
407		(1, 64, 64, 3)		[b'trilobite']
408		(1, 64, 64, 3)		[b'drumstick']
409		(1, 64, 64, 3)		[b'orange']
410		(1, 64, 64, 3)		[b'pole']
411		(1, 64, 64, 3)		[b'ice lolly, lolly, lollipop, popsicle']
412		(1, 64, 64, 3)		[b'African elephant, Loxodonta africana']
413		(1, 64, 64, 3)		[b'organ, pipe organ']
414		(1, 64, 64, 3)		[b'chain']
415		(1, 64, 64, 3)		[b'pomegranate']
416		(1, 64, 64, 3)		[b'convertible']
417		(1, 64, 64, 3)		[b'standard poodle']
418		(1, 64, 64, 3)		[b'standard poodle']
419		(1, 64, 64, 3)		[b'nail']
420		(1, 64, 64, 3)		[b'brown bear, bruin, Ursus arctos']
421		(1, 64, 64, 3)		[b'goose']
422		(1, 64, 64, 3)		[b'Persian cat']
423		(1, 64, 64, 3)		[b'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM']
424		(1, 64, 64, 3)		[b'freight car']
425		(1, 64, 64, 3)		[b'gondola']
426		(1, 64, 64, 3)		[b'neck brace']
427		(1, 64, 64, 3)		[b'banana']
428		(1, 64, 64, 3)		[b'pop bottle, soda bottle']
429		(1, 64, 64, 3)		[b'kimono']
430		(1, 64, 64, 3)		[b'barrel, cask']
431		(1, 64, 64, 3)		[b'organ, pipe organ']
432		(1, 64, 64, 3)		[b'gasmask, respirator, gas helmet']
433		(1, 64, 64, 3)		[b'sports car, sport car']
434		(1, 64, 64, 3)		[b'tractor']
435		(1, 64, 64, 3)		[b'bison']
436		(1, 64, 64, 3)		[b'chimpanzee, chimp, Pan troglodytes']
437		(1, 64, 64, 3)		[b'sea slug, nudibranch']
438		(1, 64, 64, 3)		[b'goldfish, Carassius auratus']
439		(1, 64, 64, 3)		[b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor']
440		(1, 64, 64, 3)		[b'water jug']
441		(1, 64, 64, 3)		[b'space heater']
442		(1, 64, 64, 3)		[b'meat loaf, meatloaf']
443		(1, 64, 64, 3)		[b'trolleybus, trolley coach, trackless trolley']
444		(1, 64, 64, 3)		[b'cliff, drop, drop-off']
445		(1, 64, 64, 3)		[b'albatross, mollymawk']
446		(1, 64, 64, 3)		[b'oboe, hautboy, hautbois']
447		(1, 64, 64, 3)		[b'monarch, monarch butterfly, milkweed butterfly, Danaus plexippus']
448		(1, 64, 64, 3)		[b'torch']
449		(1, 64, 64, 3)		[b'potpie']
450		(1, 64, 64, 3)		[b'sea cucumber, holothurian']
451		(1, 64, 64, 3)		[b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria']
452		(1, 64, 64, 3)		[b'reel']
453		(1, 64, 64, 3)		[b'crane']
454		(1, 64, 64, 3)		[b'bathtub, bathing tub, bath, tub']
455		(1, 64, 64, 3)		[b'Egyptian cat']
456		(1, 64, 64, 3)		[b'alp']
457		(1, 64, 64, 3)		[b'turnstile']
458		(1, 64, 64, 3)		[b'lakeside, lakeshore']
459		(1, 64, 64, 3)		[b'pole']
460		(1, 64, 64, 3)		[b'snail']
461		(1, 64, 64, 3)		[b'hourglass']
462		(1, 64, 64, 3)		[b'kimono']
463		(1, 64, 64, 3)		[b'pop bottle, soda bottle']
464		(1, 64, 64, 3)		[b'poncho']
465		(1, 64, 64, 3)		[b'albatross, mollymawk']
466		(1, 64, 64, 3)		[b'cannon']
467		(1, 64, 64, 3)		[b'frying pan, frypan, skillet']
468		(1, 64, 64, 3)		[b'pizza, pizza pie']
469		(1, 64, 64, 3)		[b'pomegranate']
470		(1, 64, 64, 3)		[b'bikini, two-piece']
471		(1, 64, 64, 3)		[b'ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle']
472		(1, 64, 64, 3)		[b'bikini, two-piece']
473		(1, 64, 64, 3)		[b'brain coral']
474		(1, 64, 64, 3)		[b'sewing machine']
475		(1, 64, 64, 3)		[b'computer keyboard, keypad']
476		(1, 64, 64, 3)		[b'centipede']
477		(1, 64, 64, 3)		[b'hourglass']
478		(1, 64, 64, 3)		[b'lawn mower, mower']
479		(1, 64, 64, 3)		[b'sunglasses, dark glasses, shades']
480		(1, 64, 64, 3)		[b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria']
481		(1, 64, 64, 3)		[b'ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle']
482		(1, 64, 64, 3)		[b'albatross, mollymawk']
483		(1, 64, 64, 3)		[b'Yorkshire terrier']
484		(1, 64, 64, 3)		[b'syringe']
