Number		Dims		Class Data
46		(1, 64, 64, 3)		[b'lawn mower, mower']
47		(1, 64, 64, 3)		[b'moving van']
48		(1, 64, 64, 3)		[b"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"]
49		(1, 64, 64, 3)		[b'meat loaf, meatloaf']
50		(1, 64, 64, 3)		[b'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis']
51		(1, 64, 64, 3)		[b'Persian cat']
52		(1, 64, 64, 3)		[b'mantis, mantid']
53		(1, 64, 64, 3)		[b'maypole']
54		(1, 64, 64, 3)		[b'trolleybus, trolley coach, trackless trolley']
55		(1, 64, 64, 3)		[b'beacon, lighthouse, beacon light, pharos']
56		(1, 64, 64, 3)		[b'espresso']
57		(1, 64, 64, 3)		[b"academic gown, academic robe, judge's robe"]
58		(1, 64, 64, 3)		[b"potter's wheel"]
59		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
60		(1, 64, 64, 3)		[b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus']
61		(1, 64, 64, 3)		[b'mashed potato']
62		(1, 64, 64, 3)		[b'cliff dwelling']
63		(1, 64, 64, 3)		[b'thatch, thatched roof']
64		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
65		(1, 64, 64, 3)		[b'computer keyboard, keypad']
66		(1, 64, 64, 3)		[b'desk']
67		(1, 64, 64, 3)		[b'triumphal arch']
68		(1, 64, 64, 3)		[b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria']
69		(1, 64, 64, 3)		[b'projectile, missile']
70		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
71		(1, 64, 64, 3)		[b'birdhouse']
72		(1, 64, 64, 3)		[b'fountain']
73		(1, 64, 64, 3)		[b'altar']
74		(1, 64, 64, 3)		[b'lakeside, lakeshore']
75		(1, 64, 64, 3)		[b'crane']
76		(1, 64, 64, 3)		[b'bison']
77		(1, 64, 64, 3)		[b'dam, dike, dyke']
78		(1, 64, 64, 3)		[b'triumphal arch']
79		(1, 64, 64, 3)		[b'fly']
80		(1, 64, 64, 3)		[b'hog, pig, grunter, squealer, Sus scrofa']
81		(1, 64, 64, 3)		[b'cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM']
82		(1, 64, 64, 3)		[b'snorkel']
83		(1, 64, 64, 3)		[b'Persian cat']
84		(1, 64, 64, 3)		[b'moving van']
85		(1, 64, 64, 3)		[b'king penguin, Aptenodytes patagonica']
86		(1, 64, 64, 3)		[b'freight car']
87		(1, 64, 64, 3)		[b'ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle']
88		(1, 64, 64, 3)		[b'broom']
89		(1, 64, 64, 3)		[b'monarch, monarch butterfly, milkweed butterfly, Danaus plexippus']
90		(1, 64, 64, 3)		[b'organ, pipe organ']
91		(1, 64, 64, 3)		[b'backpack, back pack, knapsack, packsack, rucksack, haversack']
92		(1, 64, 64, 3)		[b'lemon']
93		(1, 64, 64, 3)		[b'American alligator, Alligator mississipiensis']
94		(1, 64, 64, 3)		[b'barbershop']
95		(1, 64, 64, 3)		[b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus']
96		(1, 64, 64, 3)		[b'syringe']
97		(1, 64, 64, 3)		[b'fly']
98		(1, 64, 64, 3)		[b'cannon']
99		(1, 64, 64, 3)		[b'beaker']
100		(1, 64, 64, 3)		[b'golden retriever']
101		(1, 64, 64, 3)		[b'apron']
102		(1, 64, 64, 3)		[b'cauliflower']
103		(1, 64, 64, 3)		[b'rugby ball']
104		(1, 64, 64, 3)		[b'walking stick, walkingstick, stick insect']
105		(1, 64, 64, 3)		[b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria']
106		(1, 64, 64, 3)		[b'bee']
107		(1, 64, 64, 3)		[b'pill bottle']
108		(1, 64, 64, 3)		[b'jellyfish']
109		(1, 64, 64, 3)		[b'triumphal arch']
110		(1, 64, 64, 3)		[b'scoreboard']
111		(1, 64, 64, 3)		[b'gasmask, respirator, gas helmet']
112		(1, 64, 64, 3)		[b'bikini, two-piece']
113		(1, 64, 64, 3)		[b'brain coral']
114		(1, 64, 64, 3)		[b'broom']
115		(1, 64, 64, 3)		[b'pomegranate']
116		(1, 64, 64, 3)		[b'birdhouse']
117		(1, 64, 64, 3)		[b'candle, taper, wax light']
118		(1, 64, 64, 3)		[b'CD player']
119		(1, 64, 64, 3)		[b'dumbbell']
120		(1, 64, 64, 3)		[b'obelisk']
121		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
122		(1, 64, 64, 3)		[b'spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish']
123		(1, 64, 64, 3)		[b'flagpole, flagstaff']
124		(1, 64, 64, 3)		[b'plate']
125		(1, 64, 64, 3)		[b'sea slug, nudibranch']
126		(1, 64, 64, 3)		[b'remote control, remote']
127		(1, 64, 64, 3)		[b'Labrador retriever']
128		(1, 64, 64, 3)		[b'neck brace']
129		(1, 64, 64, 3)		[b'sports car, sport car']
130		(1, 64, 64, 3)		[b'pay-phone, pay-station']
131		(1, 64, 64, 3)		[b'standard poodle']
132		(1, 64, 64, 3)		[b'abacus']
133		(1, 64, 64, 3)		[b'butcher shop, meat market']
134		(1, 64, 64, 3)		[b'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria']
135		(1, 64, 64, 3)		[b'dam, dike, dyke']
136		(1, 64, 64, 3)		[b'guacamole']
137		(1, 64, 64, 3)		[b'bullfrog, Rana catesbeiana']
138		(1, 64, 64, 3)		[b'tarantula']
139		(1, 64, 64, 3)		[b'moving van']
140		(1, 64, 64, 3)		[b'go-kart']
141		(1, 64, 64, 3)		[b'Chihuahua']
142		(1, 64, 64, 3)		[b'fly']
143		(1, 64, 64, 3)		[b'cardigan']
144		(1, 64, 64, 3)		[b'obelisk']
145		(1, 64, 64, 3)		[b'CD player']
146		(1, 64, 64, 3)		[b'cardigan']
147		(1, 64, 64, 3)		[b'standard poodle']
148		(1, 64, 64, 3)		[b'comic book']
149		(1, 64, 64, 3)		[b"spider web, spider's web"]
150		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
151		(1, 64, 64, 3)		[b'chimpanzee, chimp, Pan troglodytes']
152		(1, 64, 64, 3)		[b'projectile, missile']
153		(1, 64, 64, 3)		[b'American alligator, Alligator mississipiensis']
154		(1, 64, 64, 3)		[b'pole']
155		(1, 64, 64, 3)		[b'teapot']
156		(1, 64, 64, 3)		[b'dugong, Dugong dugon']
157		(1, 64, 64, 3)		[b'tractor']
158		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
159		(1, 64, 64, 3)		[b'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis']
160		(1, 64, 64, 3)		[b'dumbbell']
161		(1, 64, 64, 3)		[b'alp']
162		(1, 64, 64, 3)		[b'water jug']
163		(1, 64, 64, 3)		[b'tractor']
164		(1, 64, 64, 3)		[b'bullet train, bullet']
165		(1, 64, 64, 3)		[b'limousine, limo']
166		(1, 64, 64, 3)		[b'bullet train, bullet']
167		(1, 64, 64, 3)		[b'barrel, cask']
168		(1, 64, 64, 3)		[b'scorpion']
169		(1, 64, 64, 3)		[b'abacus']
170		(1, 64, 64, 3)		[b'wok']
171		(1, 64, 64, 3)		[b'snorkel']
172		(1, 64, 64, 3)		[b'oboe, hautboy, hautbois']
173		(1, 64, 64, 3)		[b'jinrikisha, ricksha, rickshaw']
174		(1, 64, 64, 3)		[b'fur coat']
175		(1, 64, 64, 3)		[b'slug']
176		(1, 64, 64, 3)		[b'dugong, Dugong dugon']
177		(1, 64, 64, 3)		[b'crane']
178		(1, 64, 64, 3)		[b'ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle']
179		(1, 64, 64, 3)		[b'guacamole']
180		(1, 64, 64, 3)		[b'volleyball']
181		(1, 64, 64, 3)		[b'space heater']
182		(1, 64, 64, 3)		[b"spider web, spider's web"]
183		(1, 64, 64, 3)		[b'seashore, coast, seacoast, sea-coast']
184		(1, 64, 64, 3)		[b'Christmas stocking']
185		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
186		(1, 64, 64, 3)		[b'nail']
187		(1, 64, 64, 3)		[b'cougar, puma, catamount, mountain lion, painter, panther, Felis concolor']
188		(1, 64, 64, 3)		[b'backpack, back pack, knapsack, packsack, rucksack, haversack']
189		(1, 64, 64, 3)		[b'cliff, drop, drop-off']
190		(1, 64, 64, 3)		[b'lifeboat']
191		(1, 64, 64, 3)		[b'boa constrictor, Constrictor constrictor']
192		(1, 64, 64, 3)		[b'goldfish, Carassius auratus']
193		(1, 64, 64, 3)		[b'bow tie, bow-tie, bowtie']
194		(1, 64, 64, 3)		[b'Arabian camel, dromedary, Camelus dromedarius']
195		(1, 64, 64, 3)		[b'flagpole, flagstaff']
196		(1, 64, 64, 3)		[b'iPod']
197		(1, 64, 64, 3)		[b'cockroach, roach']
198		(1, 64, 64, 3)		[b'goose']
199		(1, 64, 64, 3)		[b'organ, pipe organ']
200		(1, 64, 64, 3)		[b'Chihuahua']
201		(1, 64, 64, 3)		[b'lawn mower, mower']
202		(1, 64, 64, 3)		[b'bikini, two-piece']
203		(1, 64, 64, 3)		[b'baboon']
204		(1, 64, 64, 3)		[b'German shepherd, German shepherd dog, German police dog, alsatian']
205		(1, 64, 64, 3)		[b'bathtub, bathing tub, bath, tub']
206		(1, 64, 64, 3)		[b'Yorkshire terrier']
207		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
208		(1, 64, 64, 3)		[b'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']
209		(1, 64, 64, 3)		[b'lion, king of beasts, Panthera leo']
210		(1, 64, 64, 3)		[b'altar']
211		(1, 64, 64, 3)		[b'lawn mower, mower']
212		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
213		(1, 64, 64, 3)		[b'brown bear, bruin, Ursus arctos']
214		(1, 64, 64, 3)		[b'orangutan, orang, orangutang, Pongo pygmaeus']
215		(1, 64, 64, 3)		[b'sombrero']
216		(1, 64, 64, 3)		[b'syringe']
217		(1, 64, 64, 3)		[b'rugby ball']
218		(1, 64, 64, 3)		[b'bathtub, bathing tub, bath, tub']
219		(1, 64, 64, 3)		[b'chimpanzee, chimp, Pan troglodytes']
220		(1, 64, 64, 3)		[b'coral reef']
221		(1, 64, 64, 3)		[b'mushroom']
222		(1, 64, 64, 3)		[b'gasmask, respirator, gas helmet']
223		(1, 64, 64, 3)		[b'boa constrictor, Constrictor constrictor']
224		(1, 64, 64, 3)		[b'spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish']
225		(1, 64, 64, 3)		[b'coral reef']
226		(1, 64, 64, 3)		[b'dam, dike, dyke']
227		(1, 64, 64, 3)		[b"academic gown, academic robe, judge's robe"]
228		(1, 64, 64, 3)		[b'dumbbell']
229		(1, 64, 64, 3)		[b'bannister, banister, balustrade, balusters, handrail']
230		(1, 64, 64, 3)		[b'snail']
231		(1, 64, 64, 3)		[b'miniskirt, mini']
232		(1, 64, 64, 3)		[b'pretzel']
233		(1, 64, 64, 3)		[b'slug']
234		(1, 64, 64, 3)		[b'CD player']
235		(1, 64, 64, 3)		[b'pomegranate']
236		(1, 64, 64, 3)		[b'sock']
237		(1, 64, 64, 3)		[b'Persian cat']
238		(1, 64, 64, 3)		[b'goose']
239		(1, 64, 64, 3)		[b'lion, king of beasts, Panthera leo']
240		(1, 64, 64, 3)		[b'suspension bridge']
241		(1, 64, 64, 3)		[b'sea cucumber, holothurian']
242		(1, 64, 64, 3)		[b'gasmask, respirator, gas helmet']
243		(1, 64, 64, 3)		[b'barbershop']
244		(1, 64, 64, 3)		[b'bannister, banister, balustrade, balusters, handrail']
245		(1, 64, 64, 3)		[b'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis']
246		(1, 64, 64, 3)		[b'beacon, lighthouse, beacon light, pharos']
247		(1, 64, 64, 3)		[b'viaduct']
248		(1, 64, 64, 3)		[b'oboe, hautboy, hautbois']
249		(1, 64, 64, 3)		[b'freight car']
250		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
251		(1, 64, 64, 3)		[b'walking stick, walkingstick, stick insect']
252		(1, 64, 64, 3)		[b'water tower']
253		(1, 64, 64, 3)		[b'sea cucumber, holothurian']
254		(1, 64, 64, 3)		[b'lawn mower, mower']
255		(1, 64, 64, 3)		[b'standard poodle']
256		(1, 64, 64, 3)		[b'baboon']
257		(1, 64, 64, 3)		[b'plate']
258		(1, 64, 64, 3)		[b'walking stick, walkingstick, stick insect']
259		(1, 64, 64, 3)		[b'chain']
260		(1, 64, 64, 3)		[b'cardigan']
261		(1, 64, 64, 3)		[b'pomegranate']
262		(1, 64, 64, 3)		[b'banana']
263		(1, 64, 64, 3)		[b'sports car, sport car']
264		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
265		(1, 64, 64, 3)		[b'sports car, sport car']
266		(1, 64, 64, 3)		[b'water jug']
267		(1, 64, 64, 3)		[b'barbershop']
268		(1, 64, 64, 3)		[b'Egyptian cat']
269		(1, 64, 64, 3)		[b'beacon, lighthouse, beacon light, pharos']
270		(1, 64, 64, 3)		[b'bow tie, bow-tie, bowtie']
271		(1, 64, 64, 3)		[b'lion, king of beasts, Panthera leo']
272		(1, 64, 64, 3)		[b'sandal']
273		(1, 64, 64, 3)		[b'chest']
274		(1, 64, 64, 3)		[b'bee']
275		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
276		(1, 64, 64, 3)		[b'space heater']
277		(1, 64, 64, 3)		[b'bell pepper']
278		(1, 64, 64, 3)		[b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus']
279		(1, 64, 64, 3)		[b'gondola']
280		(1, 64, 64, 3)		[b'binoculars, field glasses, opera glasses']
281		(1, 64, 64, 3)		[b'chain']
282		(1, 64, 64, 3)		[b'abacus']
283		(1, 64, 64, 3)		[b'brass, memorial tablet, plaque']
284		(1, 64, 64, 3)		[b'lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens']
285		(1, 64, 64, 3)		[b'bee']
286		(1, 64, 64, 3)		[b'spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish']
287		(1, 64, 64, 3)		[b'torch']
288		(1, 64, 64, 3)		[b'limousine, limo']
289		(1, 64, 64, 3)		[b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus']
290		(1, 64, 64, 3)		[b'scorpion']
291		(1, 64, 64, 3)		[b'miniskirt, mini']
292		(1, 64, 64, 3)		[b'sock']
293		(1, 64, 64, 3)		[b'gazelle']
294		(1, 64, 64, 3)		[b'pole']
295		(1, 64, 64, 3)		[b'comic book']
296		(1, 64, 64, 3)		[b'water tower']
297		(1, 64, 64, 3)		[b'albatross, mollymawk']
298		(1, 64, 64, 3)		[b'goldfish, Carassius auratus']
299		(1, 64, 64, 3)		[b'meat loaf, meatloaf']
300		(1, 64, 64, 3)		[b'lion, king of beasts, Panthera leo']
301		(1, 64, 64, 3)		[b'birdhouse']
302		(1, 64, 64, 3)		[b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus']
303		(1, 64, 64, 3)		[b'sea cucumber, holothurian']
304		(1, 64, 64, 3)		[b'bullet train, bullet']
305		(1, 64, 64, 3)		[b'hourglass']
306		(1, 64, 64, 3)		[b'grasshopper, hopper']
307		(1, 64, 64, 3)		[b'convertible']
308		(1, 64, 64, 3)		[b'bikini, two-piece']
309		(1, 64, 64, 3)		[b'Persian cat']
310		(1, 64, 64, 3)		[b'lion, king of beasts, Panthera leo']
311		(1, 64, 64, 3)		[b'snail']
312		(1, 64, 64, 3)		[b'potpie']
313		(1, 64, 64, 3)		[b'wooden spoon']
314		(1, 64, 64, 3)		[b'refrigerator, icebox']
315		(1, 64, 64, 3)		[b'black widow, Latrodectus mactans']
316		(1, 64, 64, 3)		[b'lifeboat']
317		(1, 64, 64, 3)		[b'bison']
318		(1, 64, 64, 3)		[b'pop bottle, soda bottle']
319		(1, 64, 64, 3)		[b'sewing machine']
320		(1, 64, 64, 3)		[b'boa constrictor, Constrictor constrictor']
321		(1, 64, 64, 3)		[b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui']
322		(1, 64, 64, 3)		[b'trolleybus, trolley coach, trackless trolley']
323		(1, 64, 64, 3)		[b'tarantula']
324		(1, 64, 64, 3)		[b'steel arch bridge']
325		(1, 64, 64, 3)		[b'swimming trunks, bathing trunks']
326		(1, 64, 64, 3)		[b'alp']
327		(1, 64, 64, 3)		[b'volleyball']
328		(1, 64, 64, 3)		[b'Persian cat']
329		(1, 64, 64, 3)		[b'butcher shop, meat market']
330		(1, 64, 64, 3)		[b'jellyfish']
331		(1, 64, 64, 3)		[b'torch']
332		(1, 64, 64, 3)		[b'suspension bridge']
333		(1, 64, 64, 3)		[b'African elephant, Loxodonta africana']
334		(1, 64, 64, 3)		[b'viaduct']
335		(1, 64, 64, 3)		[b'comic book']
336		(1, 64, 64, 3)		[b'space heater']
337		(1, 64, 64, 3)		[b'ice lolly, lolly, lollipop, popsicle']
338		(1, 64, 64, 3)		[b'gasmask, respirator, gas helmet']
339		(1, 64, 64, 3)		[b'cauliflower']
340		(1, 64, 64, 3)		[b'water tower']
341		(1, 64, 64, 3)		[b'chest']
342		(1, 64, 64, 3)		[b'pay-phone, pay-station']
343		(1, 64, 64, 3)		[b'lakeside, lakeshore']
344		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
345		(1, 64, 64, 3)		[b'ice cream, icecream']
346		(1, 64, 64, 3)		[b'ice lolly, lolly, lollipop, popsicle']
347		(1, 64, 64, 3)		[b'ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle']
348		(1, 64, 64, 3)		[b'beaker']
349		(1, 64, 64, 3)		[b'reel']
350		(1, 64, 64, 3)		[b'gazelle']
351		(1, 64, 64, 3)		[b'scoreboard']
352		(1, 64, 64, 3)		[b'slug']
353		(1, 64, 64, 3)		[b'bannister, banister, balustrade, balusters, handrail']
354		(1, 64, 64, 3)		[b'pizza, pizza pie']
355		(1, 64, 64, 3)		[b"plunger, plumber's helper"]
356		(1, 64, 64, 3)		[b'refrigerator, icebox']
357		(1, 64, 64, 3)		[b'sock']
358		(1, 64, 64, 3)		[b'fly']
359		(1, 64, 64, 3)		[b'pole']
360		(1, 64, 64, 3)		[b'cannon']
361		(1, 64, 64, 3)		[b'remote control, remote']
362		(1, 64, 64, 3)		[b'sea slug, nudibranch']
363		(1, 64, 64, 3)		[b'slug']
364		(1, 64, 64, 3)		[b'snorkel']
365		(1, 64, 64, 3)		[b"spider web, spider's web"]
366		(1, 64, 64, 3)		[b'thatch, thatched roof']
367		(1, 64, 64, 3)		[b"spider web, spider's web"]
368		(1, 64, 64, 3)		[b'bell pepper']
369		(1, 64, 64, 3)		[b'plate']
370		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
371		(1, 64, 64, 3)		[b'syringe']
372		(1, 64, 64, 3)		[b'Chihuahua']
373		(1, 64, 64, 3)		[b'school bus']
374		(1, 64, 64, 3)		[b'American lobster, Northern lobster, Maine lobster, Homarus americanus']
375		(1, 64, 64, 3)		[b'wok']
376		(1, 64, 64, 3)		[b'military uniform']
377		(1, 64, 64, 3)		[b'ox']
378		(1, 64, 64, 3)		[b'space heater']
379		(1, 64, 64, 3)		[b'umbrella']
380		(1, 64, 64, 3)		[b'syringe']
381		(1, 64, 64, 3)		[b'hog, pig, grunter, squealer, Sus scrofa']
382		(1, 64, 64, 3)		[b'wok']
383		(1, 64, 64, 3)		[b'steel arch bridge']
384		(1, 64, 64, 3)		[b'black widow, Latrodectus mactans']
385		(1, 64, 64, 3)		[b'sunglasses, dark glasses, shades']
386		(1, 64, 64, 3)		[b'picket fence, paling']
387		(1, 64, 64, 3)		[b'dugong, Dugong dugon']
388		(1, 64, 64, 3)		[b'nail']
389		(1, 64, 64, 3)		[b'bikini, two-piece']
390		(1, 64, 64, 3)		[b'go-kart']
391		(1, 64, 64, 3)		[b'Chihuahua']
392		(1, 64, 64, 3)		[b'guinea pig, Cavia cobaya']
393		(1, 64, 64, 3)		[b'barrel, cask']
394		(1, 64, 64, 3)		[b'cliff dwelling']
395		(1, 64, 64, 3)		[b'scorpion']
396		(1, 64, 64, 3)		[b'orange']
397		(1, 64, 64, 3)		[b'trolleybus, trolley coach, trackless trolley']
398		(1, 64, 64, 3)		[b'reel']
399		(1, 64, 64, 3)		[b'pop bottle, soda bottle']
400		(1, 64, 64, 3)		[b'sandal']
401		(1, 64, 64, 3)		[b'basketball']
402		(1, 64, 64, 3)		[b'stopwatch, stop watch']
403		(1, 64, 64, 3)		[b'barn']
404		(1, 64, 64, 3)		[b'altar']
405		(1, 64, 64, 3)		[b'comic book']
406		(1, 64, 64, 3)		[b'bikini, two-piece']
407		(1, 64, 64, 3)		[b'pill bottle']
408		(1, 64, 64, 3)		[b'Persian cat']
409		(1, 64, 64, 3)		[b'ice lolly, lolly, lollipop, popsicle']
410		(1, 64, 64, 3)		[b'lawn mower, mower']
411		(1, 64, 64, 3)		[b'ice lolly, lolly, lollipop, popsicle']
412		(1, 64, 64, 3)		[b'gazelle']
413		(1, 64, 64, 3)		[b'cliff, drop, drop-off']
414		(1, 64, 64, 3)		[b'baboon']
415		(1, 64, 64, 3)		[b'altar']
416		(1, 64, 64, 3)		[b'chest']
417		(1, 64, 64, 3)		[b'standard poodle']
418		(1, 64, 64, 3)		[b'walking stick, walkingstick, stick insect']
419		(1, 64, 64, 3)		[b'pill bottle']
420		(1, 64, 64, 3)		[b'Yorkshire terrier']
421		(1, 64, 64, 3)		[b'cliff, drop, drop-off']
422		(1, 64, 64, 3)		[b'brown bear, bruin, Ursus arctos']
423		(1, 64, 64, 3)		[b'backpack, back pack, knapsack, packsack, rucksack, haversack']
424		(1, 64, 64, 3)		[b'picket fence, paling']
425		(1, 64, 64, 3)		[b'hog, pig, grunter, squealer, Sus scrofa']
426		(1, 64, 64, 3)		[b'sombrero']
427		(1, 64, 64, 3)		[b'dugong, Dugong dugon']
428		(1, 64, 64, 3)		[b'freight car']
429		(1, 64, 64, 3)		[b'spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish']
430		(1, 64, 64, 3)		[b'standard poodle']
431		(1, 64, 64, 3)		[b'hog, pig, grunter, squealer, Sus scrofa']
432		(1, 64, 64, 3)		[b'lawn mower, mower']
433		(1, 64, 64, 3)		[b'vestment']
434		(1, 64, 64, 3)		[b'kimono']
435		(1, 64, 64, 3)		[b'miniskirt, mini']
436		(1, 64, 64, 3)		[b'confectionery, confectionary, candy store']
437		(1, 64, 64, 3)		[b'black stork, Ciconia nigra']
438		(1, 64, 64, 3)		[b'tarantula']
439		(1, 64, 64, 3)		[b'brain coral']
440		(1, 64, 64, 3)		[b'suspension bridge']
441		(1, 64, 64, 3)		[b'European fire salamander, Salamandra salamandra']
442		(1, 64, 64, 3)		[b'brown bear, bruin, Ursus arctos']
443		(1, 64, 64, 3)		[b'sombrero']
444		(1, 64, 64, 3)		[b'bee']
445		(1, 64, 64, 3)		[b'sulphur butterfly, sulfur butterfly']
446		(1, 64, 64, 3)		[b'kimono']
447		(1, 64, 64, 3)		[b'pretzel']
448		(1, 64, 64, 3)		[b'barrel, cask']
449		(1, 64, 64, 3)		[b'turnstile']
450		(1, 64, 64, 3)		[b'albatross, mollymawk']
451		(1, 64, 64, 3)		[b'barbershop']
452		(1, 64, 64, 3)		[b'nail']
453		(1, 64, 64, 3)		[b'bow tie, bow-tie, bowtie']
454		(1, 64, 64, 3)		[b'brown bear, bruin, Ursus arctos']
455		(1, 64, 64, 3)		[b'beer bottle']
456		(1, 64, 64, 3)		[b'snail']
457		(1, 64, 64, 3)		[b'coral reef']
458		(1, 64, 64, 3)		[b'cannon']
459		(1, 64, 64, 3)		[b'altar']
460		(1, 64, 64, 3)		[b'teddy, teddy bear']
461		(1, 64, 64, 3)		[b'parking meter']
462		(1, 64, 64, 3)		[b'koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus']
463		(1, 64, 64, 3)		[b'pill bottle']
464		(1, 64, 64, 3)		[b'tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui']
465		(1, 64, 64, 3)		[b'gasmask, respirator, gas helmet']
466		(1, 64, 64, 3)		[b'coral reef']
467		(1, 64, 64, 3)		[b'military uniform']
468		(1, 64, 64, 3)		[b'flagpole, flagstaff']
469		(1, 64, 64, 3)		[b'teapot']
470		(1, 64, 64, 3)		[b'bullet train, bullet']
471		(1, 64, 64, 3)		[b'snorkel']
472		(1, 64, 64, 3)		[b'boa constrictor, Constrictor constrictor']
473		(1, 64, 64, 3)		[b'cardigan']
474		(1, 64, 64, 3)		[b'nail']
475		(1, 64, 64, 3)		[b'goldfish, Carassius auratus']
476		(1, 64, 64, 3)		[b'sewing machine']
